Apellidos, Primera entrada, Ultima entrada, Citaciones, Indice H
"Rodriguez, Y.", 2005, 2016, 1074, 12
"Ferrin, I.", 1974, 2014, 573, 12
"Vargas-Dominguez, S.", 2007, 2015, 425, 11
"Silva-Villa", 2008, 2015, 321, 11
"Granda, L. N.", 1998, 2014, 479, 10
"Forero-Romero, J. E.", 2007, 2015, 425, 10
"Gonzalez, Guillermo A.", 1999, 2016, 287, 10
"Nunez, L. A.", 1987, 2013, 235, 10
"Valenzuela-Toledo", 2008, 2013, 314, 9
"Beltran-Almeida", 2004, 2014, 194, 9
"Ruiz, Milton", 2007, 2015, 166, 9
"Sabogal ; Sabogal-Martinez", 2001, 2013, 106, 8
"Vera-Ciro", 2011, 2015, 293, 7
"Romano, A. E.", 2005, 2014, 214, 7
"Lora-Clavijo", 2010, 2015, 122, 7
"Hoyos, Jaime", 2003, 2014, 107, 7
"Zuluaga, J. I.", 2001, 2015, 104, 7
"Garcia-Varela", 2001, 2013, 97, 7
"Munoz-Cuartas", 2011, 2015, 225, 6
"Tejeiro", 1998, 2015, 105, 6
"Pachon, L.", 2006, 2012, 70, 5
"Castaneda, L.", 2010, 2015, 57, 4
"Gutierrez-Pineres", 2008, 2015, 56, 4
"Larranaga, A.", 2008, 2015, 47, 4
"Casas-Miranda", 2002, 2012, 105, 3
"Pinzon, G.", 2004, 2012, 92, 3
"Montoya, Edison", 2011, 2014, 60, 3
"Cuartas, Pablo A. ; Cuartas-Restrepo, Pablo A.", 2012, 2015, 36, 3
"Garcia-Reyes, G.", 2004, 2014, 26, 3
"Vera-Villamizar", 2001, 2003, 26, 3
"Sanabria-Gomez, J.D.", 1998, 2015, 20, 3
"Arias, Veronica", 2012, 2014, 60, 2
"Higuera-G, M. A.", 2001, 2002, 23, 2
"Portilla, J. G.", 2004, 2011, 13, 2
"Chaparro-Molano", 2012, 2012, 9, 2
"Calvo-Mozo", 2012, 2012, 18, 1
"Lorduy-Gomez", 2012, 2012, 7, 1
"Quijano-Vodniza", 0, 0, 0, 0
"Rodriguez-Ferreira", 0, 0, 0, 0
"Oostra, Benjamin", 0, 0, 0, 0
"Arenas-Salazar", 0, 0, 0, 0
"Franco-Alzate", 0, 0, 0, 0

