Grupo, director, universidad, clasificacion
"GRAVITACIÓN", Granda, UNIVALLE, A1
"GRUPO DE Y ASTROFISICA COMPUTACIONAL (FACOM)", Munoz-Cuartas, UDEA, A1
"GRUPO DE INVESTIGACIÓN EN RELATIVIDAD Y GRAVITACIÓN", Gonzalez, UIS, A1
"ASTRONOMÍA, ASTROFÍSICA Y COSMOLOGIA", Tejeiro, OAN, B
"ASTROFÍSICA", Garcia, UNIANDES, B
"GRUPO DE ASTROFÍSICA", Casas, UNAL, C
"GRAVITACIÓN TEORÍAS UNIFICADAS", Quiroga, UTP, C
"GRAVITACIÓN Y MATEMÁTICA APLICADA", Gutierrez, UTBOLIVAR, C
"LÍNEA DE INVESTIGACIÓN EN ASTROFÍSICA DE LA UNIVERSIDAD DE NARIÑO", Quijano, UNARINO, D


